,HexId,HexLevel,AverageMotorVehicles,AreaConnectorCount,AreaStationCount,CentroidCoor,KNumber
20,8619586e7ffffff,6,13629.592639652015,0.0,0.0,"[51.32611369742683, -2.9579851765294976]",3
21,861958297ffffff,6,0.0,0.0,0.0,"[51.32933998328243, -2.6405436514820297]",1
22,861958657ffffff,6,6189.878373015873,0.0,0.0,"[51.31344493080502, -2.8703039118905216]",2
23,86195876fffffff,6,58308.576444851446,65.0,35.0,"[51.42490560212675, -2.618526413037035]",0
24,861958647ffffff,6,2201.1875,0.0,0.0,"[51.30071782229292, -2.782719831822595]",1
25,861958667ffffff,6,576.515625,5.0,3.0,"[51.3421724227594, -2.728043758070657]",0
26,861958607ffffff,6,0.0,0.0,0.0,"[51.42185799156073, -2.9364402199976145]",2
27,86195871fffffff,6,0.0,0.0,0.0,"[51.517498036014324, -2.9148275155472625]",2
28,8619582a7ffffff,6,0.0,0.0,0.0,"[51.357751236587866, -2.4983841512743754]",1
29,86195838fffffff,6,0.0,0.0,0.0,"[51.39899413551123, -2.4435720630204663]",1
30,861958707ffffff,6,0.0,0.0,0.0,"[51.55890679421836, -2.8599854624038663]",2
31,8619586efffffff,6,0.0,0.0,0.0,"[51.271884515605926, -2.9249109440305787]",3
32,86195866fffffff,6,0.0,0.0,0.0,"[51.28793256549, -2.6952331834742274]",1
33,86195860fffffff,6,6319.658664021164,0.0,0.0,"[51.367662767110886, -2.903336978958025]",2
34,861958637ffffff,6,0.0,0.0,0.0,"[51.476030464737455, -2.969613836687864]",2
35,861958287ffffff,6,0.0,0.0,0.0,"[51.31644962461468, -2.553141540155467]",1
36,8619580cfffffff,6,2907.6520502645503,40.0,19.0,"[51.52036693290412, -2.5964401158340324]",0
37,8619583a7ffffff,6,0.0,0.0,0.0,"[51.49438253559075, -2.4212367542111237]",1
38,861958757ffffff,6,3197.43458994709,6.0,4.0,"[51.4505848980557, -2.7938743263238446]",0
39,861958747ffffff,6,2427.567013888889,0.0,0.0,"[51.43777436893922, -2.706151296262952]",1
40,861958397ffffff,6,75396.41117724868,161.0,78.0,"[51.46618407082056, -2.5636851757650905]",0
41,86195862fffffff,6,10355.07800925926,0.0,0.0,"[51.40915318596857, -2.848633357048401]",1
42,86195829fffffff,6,0.0,0.0,0.0,"[51.27508935427087, -2.6078442116270795]",2
43,86195870fffffff,6,0.0,0.0,0.0,"[51.5047572380017, -2.8268947223686927]",1
44,871958620ffffff,7,0.0,0.0,0.0,"[51.4633436688161, -2.8816899019342617]",3
45,87195828cffffff,7,0.0,0.0,0.0,"[51.28175719141436, -2.509569895240776]",1
46,8719583a3ffffff,7,0.0,0.0,0.0,"[51.47488901320136, -2.4322718924203155]",2
47,87195862affffff,7,0.0,0.0,0.0,"[51.40687022681826, -2.8815233645158003]",5
48,871958775ffffff,7,984.8090277777778,13.0,6.0,"[51.49420049315171, -2.7061411782574125]",0
49,871958298ffffff,7,0.0,0.0,0.0,"[51.27509594804112, -2.6078388542041275]",4
50,87195871dffffff,7,0.0,0.0,0.0,"[51.51978769157045, -2.881856764968372]",4
51,871958602ffffff,7,0.0,0.0,0.0,"[51.419551549781005, -2.969356033884525]",7
