,HexId,HexLevel,AverageMotorVehicles,AreaConnectorCount,AreaStationCount,CentroidCoor,KNumber,AverageMotorVehiclesPerHex,IniCostHardwareCost,IniCostInstallationCost,IniGridReinforcementCost,DailyDemandPerStation,DailyElectricityCost,DailyEstimatedRevenue,MonthlyEstimatedRevenue,MonthlyElectricityCost,MonthlyMaintenanceCost
26,861958777ffffff,6,1280.6059027777778,6.0,2.0,"[51.49195784784374, -2.7390599027439264]",0,390.62818410688317,1000,400,0,1.5386475313766819,2.6820472848933217,40.004835815793726,1200.1450744738117,80.46141854679965,300
27,861958297ffffff,6,0.0,0.0,0.0,"[51.32933998328243, -2.6405436514820297]",1,390.62818410688317,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
28,861958637ffffff,6,0.0,0.0,0.0,"[51.476030464737455, -2.969613836687864]",2,390.62818410688317,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
29,86195866fffffff,6,0.0,0.0,0.0,"[51.28793256549, -2.6952331834742274]",1,390.62818410688317,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
30,861958647ffffff,6,440.2375,0.0,0.0,"[51.30071782229292, -2.782719831822595]",1,390.62818410688317,1000,400,0,0.5289451978357664,0.9220149532514812,13.752575143729928,412.57725431189783,27.660448597544438,300
31,8619583b7ffffff,6,489.5428902116402,49.0,20.0,"[51.50740371940867, -2.5087889187252017]",0,390.62818410688317,1000,400,0,0.5881856064330933,1.0252780942856534,15.292825767260425,458.78477301781277,30.758342828569603,300
32,8619580dfffffff,6,260.94444444444446,0.0,0.0,"[51.533271980219524, -2.6841901027061024]",1,390.62818410688317,1000,400,0,0.31352465610224217,0.5465110985449404,8.151641058658296,244.54923175974886,16.395332956348213,300
33,861958627ffffff,6,140.58680555555554,0.0,0.0,"[51.46333699479075, -2.881695256251931]",1,390.62818410688317,1000,400,0,0.1689149962865084,0.29443910832693854,4.391789903449219,131.75369710347655,8.833173249808157,300
34,8619586efffffff,6,0.0,0.0,0.0,"[51.271884515605926, -2.9249109440305787]",3,390.62818410688317,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
35,86195829fffffff,6,0.0,0.0,0.0,"[51.27508935427087, -2.6078442116270795]",2,390.62818410688317,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
36,86195862fffffff,6,609.1222358387799,0.0,0.0,"[51.40915318596857, -2.848633357048401]",1,390.62818410688317,1000,400,0,0.7318601471748949,1.2757200597435028,19.028363826547267,570.850914796418,38.271601792305084,300
37,861958387ffffff,6,335.47222222222223,16.0,7.0,"[51.453210074502444, -2.476145758223588]",0,390.62818410688317,1000,400,0,0.40306975428430686,0.702598950088061,10.479813611391979,314.39440834175934,21.077968502641827,300
38,86195860fffffff,6,300.9361268581507,0.0,0.0,"[51.367662767110886, -2.903336978958025]",2,390.62818410688317,1000,400,500000,0.3615746481317785,0.6302680006514657,9.40094085142624,282.0282255427872,18.90804001954397,300
39,86195875fffffff,6,212.17196468654802,0.0,0.0,"[51.3963899133073, -2.760924072067572]",1,390.62818410688317,1000,400,0,0.2549245392233269,0.44436406281096563,6.6280380198065,198.841140594195,13.33092188432897,300
40,86195876fffffff,6,613.7744888931732,65.0,35.0,"[51.42490560212675, -2.618526413037035]",0,390.62818410688317,1000,400,0,0.7374498275456903,1.2854635433914436,19.173695516187948,575.2108654856385,38.56390630174331,300
41,86195839fffffff,6,509.5012337199837,18.0,8.0,"[51.41197879257606, -2.5309999212251326]",0,390.62818410688317,1000,400,0,0.6121655489765953,1.0670780117320826,15.916304273391477,477.4891282017443,32.01234035196248,300
42,86195871fffffff,6,0.0,0.0,0.0,"[51.517498036014324, -2.9148275155472625]",2,390.62818410688317,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
