hex9,mean_car,total_charger,min_k,min_k_hex,total_number_of_cell,charger_count,lat,lon,cars_density
8919586291bffff,223.7125,0.0,13,89195862eb3ffff,1.0,4.0,51.39432791700724,-2.8297992304748156,2831.826203416192
89195875693ffff,29.62121212121212,0.0,22,89195862eb3ffff,1.0,4.0,51.4766073694991,-2.8064478769316934,374.955018882708
89195839a9bffff,175.61309523809524,0.0,7,89195839eb7ffff,1.0,11.0,51.41816259542984,-2.559111133963499,2222.9681611812543
89195875587ffff,264.5625,0.0,28,89195862eb3ffff,1.0,4.0,51.456288349239315,-2.75000246724623,3348.918902346969
89195866643ffff,70.84469696969697,0.0,29,89195862eb3ffff,1.0,4.0,51.361327992293305,-2.7624518656582624,896.7754115298321
89195862cdbffff,95.91666666666667,0.0,5,89195862eb3ffff,1.0,4.0,51.43895872962967,-2.845563303674099,1214.1446276404006
89195867187ffff,12.272727272727273,0.0,29,89195860b83ffff,1.0,3.0,51.341090786427344,-2.782763522298019,155.35220731201713
89195862eb3ffff,94.20833333333333,4.0,0,89195862eb3ffff,1.0,4.0,51.42744232309031,-2.8565061657201714,1192.5199839682646
89195866657ffff,18.629166666666666,0.0,30,89195862eb3ffff,1.0,4.0,51.36165173166811,-2.757759492847775,235.81410209297266
8919586086fffff,13.265151515151516,0.0,2,89195860b83ffff,1.0,3.0,51.358937138348956,-2.9126973579477755,167.91463889095184
89195867477ffff,386.0568181818182,0.0,23,89195862eb3ffff,2.0,7.0,51.36894909377409,-2.807835469927333,4886.833832417738
89195875cdbffff,21.140151515151516,0.0,22,89195862eb3ffff,1.0,4.0,51.426186762358775,-2.7578116207414625,267.59897191616284
89195860857ffff,7.928030303030303,0.0,6,89195860b83ffff,1.0,3.0,51.3698122059304,-2.911168937428885,100.35560799507772
89195874633ffff,462.4125,0.0,22,89195876c5bffff,1.0,5.0,51.4501514287623,-2.721804564039824,5853.369097780365
89195876ad7ffff,66.52651515151516,0.0,10,89195876c5bffff,3.0,10.0,51.43075352953415,-2.651366930022832,842.1144496978262
89195874347ffff,27.481060606060606,0.0,28,89195876c5bffff,3.0,10.0,51.41757919908897,-2.7264943767439362,347.86427902737165
89195874157ffff,39.03333333333333,0.0,20,89195876c5bffff,3.0,10.0,51.42261670644722,-2.6920601368170605,494.09673639162776
8919587624bffff,38.60227272727273,0.0,20,8919587652fffff,1.0,2.0,51.47840369045294,-2.701441533359232,488.6402298508538
8919587436fffff,39.357142857142854,0.0,30,89195876c5bffff,3.0,10.0,51.40951474469568,-2.7264922189202885,498.1956235545691
8919586087bffff,15.379166666666666,0.0,4,89195860b83ffff,1.0,3.0,51.36420983298648,-2.9142818404923503,194.67453608256812
8919586e6bbffff,347.53055555555557,0.0,2,8919586e613ffff,1.0,3.0,51.3440819073874,-2.9705850946179186,4399.155763357027
8919583b36bffff,10.625,0.0,5,8919583942fffff,1.0,6.0,51.481700047947335,-2.5323412366915026,134.4947350340148
89195876c2bffff,414.6388888888889,0.0,2,89195876c73ffff,1.0,2.0,51.43639737907369,-2.607550537235526,5248.6350584385345
8919583908bffff,165.08680555555554,0.0,2,8919583901bffff,1.0,2.0,51.47177080620934,-2.560535059494319,2089.7229337229523
89195876c4fffff,2026.849358974359,0.0,1,89195876c43ffff,1.0,3.0,51.44350809784114,-2.621619904499927,25656.523998975925
89195875ab7ffff,547.7179487179487,0.0,22,89195862eb3ffff,1.0,4.0,51.392630579031646,-2.7765661951403704,6933.193448112436
891958393dbffff,1296.411111111111,0.0,2,89195839353ffff,1.0,10.0,51.456879944431954,-2.582477065458927,16410.397071439213
89195865477ffff,229.32638888888889,0.0,13,89195860b83ffff,1.0,3.0,51.327460402784844,-2.8625132795122474,2902.8886503452754
89195877237ffff,479.1666666666667,0.0,32,89195862eb3ffff,1.0,4.0,51.48230228949751,-2.762559521155167,6065.448834867335
89195876c5bffff,1707.0416666666667,5.0,0,89195876c5bffff,1.0,5.0,51.448775197399925,-2.623176676947726,21608.29333179825
89195877157ffff,2938.2375,0.0,25,8919587652fffff,1.0,2.0,51.476806868439105,-2.7249433279359363,37193.174026306464
89195860d83ffff,613.2727272727273,0.0,14,89195860b83ffff,1.0,3.0,51.37589985193193,-2.8626399107334186,7763.007337236055
89195876c47ffff,726.5,0.0,1,89195876c43ffff,3.0,7.0,51.44382430899673,-2.6169251915267973,9196.275294325813
89195876c43ffff,237.30555555555554,3.0,0,89195876c43ffff,1.0,3.0,51.44629979304066,-2.6200507626226366,3003.891559204153
891958763a3ffff,676.8229166666666,0.0,7,89195876c5bffff,1.0,5.0,51.457725405495665,-2.6497736165740644,8567.44647925011
891958766c7ffff,2960.8854166666665,0.0,17,8919587652fffff,1.0,2.0,51.50169295396477,-2.6747962755694847,37479.85878406229
89195874c97ffff,677.9097222222222,0.0,15,89195876c5bffff,3.0,10.0,51.40936190445532,-2.6498247815647518,8581.203620448034
891958741a3ffff,715.5416666666666,0.0,17,89195876c5bffff,3.0,10.0,51.41862519943234,-2.6717188398785425,9057.561116624063
