hex7,mean_car,total_charger,min_k,min_k_hex,total_number_of_cell,charger_count,lat,lon,cars_density
8719586e6ffffff,353.8501602564103,7.0,0,8719586e6ffffff,1.0,7.0,51.34341485468875,-2.979980879388711,91.41124047688113
871958758ffffff,547.7179487179487,0.0,2,871958666ffffff,1.0,5.0,51.39639655557957,-2.7609187132874116,141.49372459653546
871958654ffffff,142.775,0.0,2,871958608ffffff,2.0,14.0,51.333061536523,-2.8593994548202843,36.88352111987003
871958772ffffff,479.1666666666667,14.0,0,871958772ffffff,1.0,14.0,51.489718697216205,-2.771973642708247,123.78465326519155
87195860dffffff,613.2727272727273,0.0,1,871958608ffffff,1.0,3.0,51.36997109714995,-2.8704539011027452,158.42869962251044
871958763ffffff,676.8229166666666,2.0,0,871958763ffffff,1.0,2.0,51.45956420136988,-2.6622974406151485,174.84582273708304
87195874cffffff,677.9097222222222,0.0,1,871958741ffffff,1.0,1.0,51.40313624766031,-2.662344920343874,175.12658068253236
87195860bffffff,723.3708333333333,11.0,0,87195860bffffff,1.0,11.0,51.34805975097674,-2.914226093321874,186.87069451057945
871958661ffffff,148.29761904761904,0.0,2,871958666ffffff,1.0,5.0,51.324854119075745,-2.70615538244259,38.310196912409715
8719586e0ffffff,156.67753623188406,0.0,1,8719586e4ffffff,2.0,15.0,51.326120350993136,-2.957979858191962,40.475007645721575
87195876effffff,820.5861111111111,15.0,0,87195876effffff,1.0,15.0,51.44224017060801,-2.6404008256693916,211.98462727955652
871958655ffffff,154.3779761904762,0.0,3,871958608ffffff,2.0,14.0,51.315751685856576,-2.837458541699231,39.88095496595498
8719586e3ffffff,525.1944444444445,0.0,2,8719586e4ffffff,2.0,15.0,51.30649231272648,-2.968852592699142,135.67515590057835
871958396ffffff,203.77777777777777,16.0,0,871958396ffffff,1.0,16.0,51.48352207484178,-2.585549467207431,52.64256326686638
871958754ffffff,273.61764705882354,6.0,0,871958754ffffff,1.0,6.0,51.47015822747682,-2.7829245470499817,70.68451944712493
87195860affffff,258.5681818181818,0.0,1,8719586e4ffffff,3.0,22.0,51.36535791657025,-2.936215040963408,66.79674309239925
87195861bffffff,93.51785714285714,0.0,1,8719586e6ffffff,1.0,7.0,51.360705388548645,-3.001998705588447,24.158766303719556
871958751ffffff,157.20052083333334,0.0,2,871958754ffffff,3.0,12.0,51.4332826165554,-2.771914152689705,40.61011192583309
871958764ffffff,173.60493827160494,0.0,1,871958766ffffff,4.0,28.0,51.49864300419831,-2.6403318929367905,44.84791740328821
871958740ffffff,88.41203703703704,0.0,1,871958741ffffff,1.0,1.0,51.437781012949436,-2.7061459222221362,22.83976351116293
871958762ffffff,204.95833333333334,0.0,1,871958771ffffff,4.0,23.0,51.476884312509924,-2.684210887145673,52.94753994882411
871958773ffffff,3152.25,4.0,0,871958773ffffff,1.0,4.0,51.47241007879314,-2.750014222911798,814.3307963586783
87195876bffffff,373.67857142857144,0.0,1,871958769ffffff,1.0,9.0,51.40536321514972,-2.629498568057345,96.53357717617634
871958398ffffff,9.875,0.0,1,87195839effffff,1.0,11.0,51.41198540648336,-2.530994527934442,2.5510402455522083
87195862cffffff,51.333333333333336,2.0,0,87195862cffffff,1.0,2.0,51.42874493680193,-2.8377053558796828,13.261103723714434
871958752ffffff,470.5833333333333,0.0,1,871958621ffffff,2.0,6.0,51.44832383892635,-2.8267762265255025,121.56729338931072
871958628ffffff,364.0520833333333,0.0,1,87195862effffff,2.0,9.0,51.40915984322532,-2.848628008119251,94.04673580359085
871958382ffffff,3.0,17.0,0,871958382ffffff,1.0,17.0,51.45104094926787,-2.5089806772907184,0.7749995682690253
871958744ffffff,2.5833333333333335,0.0,1,871958771ffffff,2.0,8.0,51.4573357633895,-2.695181650194229,0.6673607393427718
871958656ffffff,352.375,0.0,1,87195860bffffff,1.0,11.0,51.330757631637816,-2.8922539451324503,91.03015762293259
871958761ffffff,535.4614197530864,2.0,0,871958761ffffff,1.0,2.0,51.461782833290364,-2.629419045126668,138.3274563777871
871958750ffffff,5.208333333333333,0.0,1,871958754ffffff,1.0,6.0,51.45059155708466,-2.7938689620853374,1.3454853615781688
871958619ffffff,36.8125,0.0,1,8719586e4ffffff,2.0,15.0,51.363036573729914,-2.9691040677940967,9.509890535634499
8719586e2ffffff,98.33333333333333,0.0,1,8719586e6ffffff,1.0,7.0,51.323786964276344,-2.990851240588727,25.402763626595828
8719580ddffffff,19.75,0.0,1,8719580caffffff,1.0,13.0,51.53549271369661,-2.6512596022489334,5.102080491104417
87195875affffff,82.60185185185185,0.0,2,871958666ffffff,2.0,7.0,51.39413037641751,-2.793788155992342,21.338799841135724
871958652ffffff,12.75,0.0,2,8719586e4ffffff,2.0,19.0,51.31114163879107,-2.903144286164789,3.2937481651433576
871958646ffffff,362.6666666666667,0.0,3,871958666ffffff,1.0,5.0,51.31804199349647,-2.8046241805541885,93.68883669741106
871958642ffffff,494.125,0.0,4,871958666ffffff,3.0,19.0,51.298437911279336,-2.815534399589031,127.64888722364404
8719580caffffff,188.5625,13.0,0,8719580caffffff,1.0,13.0,51.51817309183594,-2.6293393668689347,48.71195203057603
8719580c8ffffff,6.958333333333333,26.0,0,8719580c8ffffff,1.0,26.0,51.52037358024469,-2.5964347112466943,1.7975684430684336
8719586e1ffffff,10.208333333333334,0.0,2,8719586e4ffffff,3.0,26.0,51.308821888373366,-2.9359956292466465,2.6371513086932112
871958662ffffff,61.75,0.0,1,871958666ffffff,1.0,5.0,51.33991437545361,-2.7608700903997434,15.952074446870771
87195874dffffff,13.75,0.0,2,871958769ffffff,2.0,10.0,51.385808004913706,-2.6404696240624363,3.552081354566366
