hex7,mean_car,total_charger,min_k,min_k_hex,total_number_of_cell,charger_count,lat,lon,cars_density
871958390ffffff,877.4407252440725,20.0,0,871958390ffffff,1.0,20.0,51.46619070144553,-2.5636797768204715,226.6720610819389
871958768ffffff,877.775974025974,0.0,1,87195876cffffff,4.0,88.0,51.424912231096265,-2.6185210293122316,226.7586669690177
871958394ffffff,951.1282051282051,6.0,0,871958394ffffff,1.0,6.0,51.48571506125867,-2.552674030043253,245.70798278095063
87195876cffffff,841.7882096069869,62.0,0,87195876cffffff,1.0,62.0,51.44445504891417,-2.607537002886141,217.46183300645689
871958771ffffff,1998.3396892655367,6.0,0,871958771ffffff,1.0,6.0,51.47465210527421,-2.7171096628821143,516.2374654785497
871958650ffffff,2523.402777777778,0.0,2,87195860bffffff,1.0,11.0,51.31345156945567,-2.8702985836055745,651.8786877822123
871958766ffffff,714.7634003350083,2.0,0,871958766ffffff,1.0,2.0,51.496426656481596,-2.673233628115728,184.64710889137731
87195839cffffff,1250.5929487179487,0.0,1,87195839effffff,2.0,28.0,51.43151627916393,-2.5199908496738495,323.06966511223254
87195862bffffff,3388.425925925926,0.0,2,87195862effffff,3.0,12.0,51.389568562053405,-2.8595441882072485,875.342876568055
8719580dbffffff,512.7524509803922,0.0,1,871958766ffffff,2.0,15.0,51.51374267354896,-2.6951661948946932,132.4609760462295
871958775ffffff,232.4212962962963,13.0,0,871958775ffffff,1.0,13.0,51.49420049315171,-2.7061411782574134,60.042134762052285
871958393ffffff,711.0998263888889,50.0,0,871958393ffffff,1.0,50.0,51.44666013436594,-2.574679023866849,183.70068614918927
871958392ffffff,580.5689509306261,58.0,0,871958392ffffff,1.0,58.0,51.463991664771164,-2.596546483834156,149.98022877387874
871958395ffffff,392.02738095238095,3.0,0,871958395ffffff,1.0,3.0,51.46837994895981,-2.530818944145926,101.27368366257731
87195839effffff,489.28846153846155,11.0,0,87195839effffff,1.0,11.0,51.42932471131744,-2.552828376244513,126.39944881710777
871958765ffffff,204.95281124497993,10.0,0,871958765ffffff,1.0,10.0,51.481319291670864,-2.618430769179603,52.946113410127495
87195876dffffff,167.4610507246377,2.0,0,87195876dffffff,1.0,2.0,51.42712336384187,-2.5856717761285544,43.26074733782385
8719580cbffffff,320.7280701754386,3.0,0,8719580cbffffff,1.0,3.0,51.50084954192737,-2.6074359928727446,82.85470530590752
871958760ffffff,539.0517676767677,0.0,1,871958766ffffff,4.0,16.0,51.47910670610338,-2.6513179158648454,139.25496240804995
871958391ffffff,248.79315476190476,0.0,1,871958390ffffff,5.0,101.0,51.44885543260045,-2.5418269086598047,64.271529176255
8719583b3ffffff,71.22163120567376,4.0,0,8719583b3ffffff,1.0,4.0,51.487898256577076,-2.519804477759401,18.39891114527097
871958769ffffff,244.14367816091954,9.0,0,871958769ffffff,1.0,9.0,51.40758039370207,-2.5966580385478353,63.070415056774834
87195839affffff,183.93269230769232,0.0,1,87195839effffff,3.0,22.0,51.40978778893606,-2.5638233518396087,47.51591904300701
8719586e4ffffff,1088.2162698412699,8.0,0,8719586e4ffffff,1.0,8.0,51.34574222023821,-2.9471006759307214,281.12237977010443
871958629ffffff,213.33531746031747,0.0,2,87195862effffff,2.0,9.0,51.39185438042201,-2.8266633210181973,55.11159297609383
871958709ffffff,29.62121212121212,0.0,1,871958772ffffff,2.0,20.0,51.48746305342553,-2.804898516601035,7.652142201848204
871958755ffffff,281.84722222222223,0.0,1,871958754ffffff,2.0,10.0,51.452849446834136,-2.7609674310906382,72.81049184668208
871958666ffffff,44.559895833333336,5.0,0,871958666ffffff,1.0,5.0,51.35950007481507,-2.749938199202966,11.511300010982024
871958621ffffff,127.60666666666667,4.0,0,871958621ffffff,1.0,4.0,51.44604628680508,-2.8596892041942676,32.9650371916387
871958671ffffff,307.39444444444445,0.0,2,871958666ffffff,1.0,5.0,51.33763990291234,-2.7937075073441346,79.41018724424711
87195862effffff,144.64912280701753,7.0,0,87195862effffff,1.0,7.0,51.4264613517783,-2.870609521775828,37.36766924197727
871958608ffffff,72.6984649122807,3.0,0,871958608ffffff,1.0,3.0,51.367669422546754,-2.903331645329257,18.780426306946143
871958674ffffff,386.0568181818182,0.0,2,871958666ffffff,1.0,5.0,51.37454497426494,-2.8047154476078453,99.73128913940756
87195875cffffff,120.85119047619048,0.0,2,871958741ffffff,1.0,1.0,51.41596973505199,-2.749976173981384,31.219873481281788
871958746ffffff,464.8219696969697,0.0,1,871958771ffffff,2.0,10.0,51.4550975137422,-2.728071653736117,120.07894194570316
87195876affffff,435.08506944444446,0.0,1,871958741ffffff,2.0,16.0,51.422691307452716,-2.6513761157592746,112.39691365991445
871958743ffffff,27.481060606060606,0.0,1,871958741ffffff,1.0,1.0,51.4182200650257,-2.717103708186144,7.09927003509063
871958741ffffff,287.015350877193,1.0,0,871958741ffffff,1.0,1.0,51.42046058729644,-2.6842370154109516,74.14559100546913
87195875dffffff,39.79924242424242,0.0,2,871958666ffffff,2.0,6.0,51.39865292346111,-2.728055013039056,10.281465232074051
